counter,defense,c_fraction,tip_probability,mean_defection_rate
atomization,none,0.2613333333333333,1.0,0.9143337563451776
atomization,none,0.27099999999999996,1.0,0.919288413098237
atomization,none,0.2806666666666666,1.0,0.93255
atomization,none,0.29033333333333333,1.0,0.9402481389578163
atomization,none,0.3,1.0,0.9455692307692307
atomization,distributed_leadership,0.01,0.0,0.08817749603803486
atomization,distributed_leadership,0.019666666666666666,0.0,0.33263736263736265
atomization,distributed_leadership,0.02933333333333333,0.55,0.536819595645412
atomization,distributed_leadership,0.039,0.92,0.5843990755007704
atomization,distributed_leadership,0.048666666666666664,1.0,0.6092137404580152
atomization,distributed_leadership,0.05833333333333333,1.0,0.6328214826021179
atomization,distributed_leadership,0.06799999999999999,1.0,0.6423163418290854
atomization,distributed_leadership,0.07766666666666665,1.0,0.6706978470675576
atomization,distributed_leadership,0.08733333333333332,1.0,0.6760338484179543
atomization,distributed_leadership,0.09699999999999999,1.0,0.6908606856309263
atomization,distributed_leadership,0.10666666666666665,1.0,0.7098553868402026
atomization,distributed_leadership,0.11633333333333332,1.0,0.7258709677419357
atomization,distributed_leadership,0.126,1.0,0.7441151385927505
atomization,distributed_leadership,0.13566666666666666,1.0,0.760105708245243
atomization,distributed_leadership,0.14533333333333331,1.0,0.7731027253668763
atomization,distributed_leadership,0.155,1.0,0.7931185031185032
atomization,distributed_leadership,0.16466666666666666,1.0,0.8050927835051549
atomization,distributed_leadership,0.1743333333333333,1.0,0.8273687798227677
atomization,distributed_leadership,0.184,1.0,0.8358783783783785
atomization,distributed_leadership,0.19366666666666665,1.0,0.8425469168900805
atomization,distributed_leadership,0.2033333333333333,1.0,0.8563364361702126
atomization,distributed_leadership,0.213,1.0,0.8629683377308706
atomization,distributed_leadership,0.22266666666666665,1.0,0.8774345549738218
atomization,distributed_leadership,0.2323333333333333,1.0,0.8866753246753245
atomization,distributed_leadership,0.242,1.0,0.8945940721649484
atomization,distributed_leadership,0.25166666666666665,1.0,0.9059079283887467
atomization,distributed_leadership,0.2613333333333333,1.0,0.9114467005076142
atomization,distributed_leadership,0.27099999999999996,1.0,0.9204785894206551
atomization,distributed_leadership,0.2806666666666666,1.0,0.9343937500000001
atomization,distributed_leadership,0.29033333333333333,1.0,0.9379342431761786
atomization,distributed_leadership,0.3,1.0,0.9459630769230769
atomization,redundant_channels,0.01,0.0,0.07834389857369256
atomization,redundant_channels,0.019666666666666666,0.0,0.3192935635792779
atomization,redundant_channels,0.02933333333333333,0.48,0.5249300155520996
atomization,redundant_channels,0.039,0.83,0.5644607087827427
