c_fraction,counter,defense,system_tipped,final_defection_rate,steps_to_equilibrium
0.3,atomization,alternative_interdependence,True,0.9864615384615385,35
0.3,atomization,alternative_interdependence,True,0.984,38
0.3,atomization,alternative_interdependence,True,0.9895384615384616,37
0.3,atomization,alternative_interdependence,True,0.9821538461538462,37
0.3,atomization,alternative_interdependence,True,0.9735384615384616,35
0.3,atomization,alternative_interdependence,True,0.9883076923076923,36
0.3,atomization,alternative_interdependence,True,0.9796923076923076,33
0.3,atomization,alternative_interdependence,True,0.9772307692307692,33
0.3,atomization,alternative_interdependence,True,0.9913846153846154,33
0.3,atomization,alternative_interdependence,True,0.9870769230769231,34
0.3,atomization,alternative_interdependence,True,0.984,35
0.3,atomization,alternative_interdependence,True,0.9846153846153847,38
0.3,atomization,alternative_interdependence,True,0.9852307692307692,37
0.3,atomization,alternative_interdependence,True,0.9821538461538462,37
0.3,atomization,alternative_interdependence,True,0.9870769230769231,35
0.3,atomization,alternative_interdependence,True,0.9790769230769231,35
0.3,atomization,alternative_interdependence,True,0.9913846153846154,36
0.3,atomization,alternative_interdependence,True,0.9821538461538462,37
0.3,atomization,alternative_interdependence,True,0.9766153846153847,36
0.3,atomization,alternative_interdependence,True,0.9870769230769231,36
0.3,atomization,alternative_interdependence,True,0.9803076923076923,37
0.3,atomization,alternative_interdependence,True,0.9864615384615385,36
0.3,atomization,alternative_interdependence,True,0.9815384615384616,33
0.3,atomization,alternative_interdependence,True,0.9846153846153847,32
0.3,atomization,alternative_interdependence,True,0.9870769230769231,35
0.3,atomization,alternative_interdependence,True,0.9864615384615385,34
0.3,atomization,alternative_interdependence,True,0.9827692307692307,38
0.3,atomization,alternative_interdependence,True,0.968,37
0.3,atomization,alternative_interdependence,True,0.9858461538461538,37
0.3,atomization,alternative_interdependence,True,0.9870769230769231,35
0.3,atomization,alternative_interdependence,True,0.9821538461538462,33
0.3,atomization,alternative_interdependence,True,0.984,37
0.3,atomization,alternative_interdependence,True,0.9864615384615385,36
