scenario,c_fraction,system_tipped,final_defection_rate,steps_to_equilibrium
no_coupling,0.019666666666666666,False,0.17660910518053374,35
no_coupling,0.019666666666666666,False,0.03924646781789639,39
no_coupling,0.019666666666666666,False,0.029042386185243328,34
no_coupling,0.019666666666666666,False,0.038461538461538464,37
no_coupling,0.019666666666666666,False,0.03532182103610675,35
no_coupling,0.019666666666666666,False,0.054945054945054944,41
no_coupling,0.019666666666666666,False,0.03532182103610675,35
no_coupling,0.019666666666666666,False,0.17582417582417584,41
no_coupling,0.019666666666666666,False,0.17582417582417584,43
no_coupling,0.019666666666666666,False,0.17582417582417584,43
no_coupling,0.019666666666666666,False,0.17582417582417584,50
no_coupling,0.019666666666666666,False,0.0565149136577708,37
no_coupling,0.019666666666666666,False,0.17582417582417584,40
no_coupling,0.019666666666666666,False,0.03610675039246468,36
no_coupling,0.019666666666666666,False,0.0282574568288854,34
no_coupling,0.019666666666666666,False,0.029827315541601257,35
no_coupling,0.019666666666666666,False,0.038461538461538464,36
no_coupling,0.019666666666666666,False,0.04081632653061224,35
no_coupling,0.019666666666666666,False,0.03453689167974882,35
no_coupling,0.019666666666666666,False,0.05023547880690738,38
no_coupling,0.019666666666666666,False,0.04552590266875981,37
no_coupling,0.019666666666666666,False,0.17582417582417584,39
no_coupling,0.019666666666666666,False,0.03218210361067504,37
no_coupling,0.019666666666666666,False,0.03610675039246468,35
no_coupling,0.019666666666666666,False,0.0282574568288854,35
no_coupling,0.019666666666666666,False,0.036891679748822605,36
no_coupling,0.019666666666666666,False,0.061224489795918366,48
no_coupling,0.019666666666666666,False,0.17582417582417584,42
no_coupling,0.019666666666666666,False,0.17582417582417584,41
no_coupling,0.019666666666666666,False,0.06357927786499215,40
no_coupling,0.019666666666666666,False,0.05180533751962323,37
no_coupling,0.019666666666666666,False,0.17582417582417584,44
no_coupling,0.019666666666666666,False,0.04709576138147567,37
no_coupling,0.019666666666666666,False,0.029042386185243328,36
no_coupling,0.019666666666666666,False,0.03532182103610675,34
no_coupling,0.019666666666666666,False,0.04866562009419152,40
no_coupling,0.019666666666666666,False,0.05337519623233909,35
no_coupling,0.019666666666666666,False,0.17582417582417584,46
no_coupling,0.019666666666666666,False,0.03453689167974882,36
no_coupling,0.019666666666666666,False,0.0423861852433281,35
no_coupling,0.019666666666666666,False,0.03453689167974882,34
no_coupling,0.019666666666666666,False,0.0565149136577708,37
no_coupling,0.019666666666666666,False,0.0423861852433281,36
no_coupling,0.019666666666666666,False,0.03453689167974882,37
no_coupling,0.019666666666666666,False,0.17582417582417584,37
no_coupling,0.019666666666666666,False,0.41130298273155413,47
no_coupling,0.019666666666666666,False,0.17582417582417584,37
no_coupling,0.019666666666666666,False,0.0423861852433281,35
no_coupling,0.019666666666666666,False,0.03296703296703297,34
no_coupling,0.019666666666666666,False,0.06436420722135008,44
no_coupling,0.019666666666666666,False,0.03767660910518053,34
no_coupling,0.019666666666666666,False,0.03610675039246468,34
no_coupling,0.019666666666666666,False,0.03532182103610675,36
no_coupling,0.019666666666666666,False,0.03610675039246468,36
no_coupling,0.019666666666666666,False,0.036891679748822605,36
no_coupling,0.019666666666666666,False,0.036891679748822605,36
no_coupling,0.019666666666666666,False,0.029042386185243328,35
no_coupling,0.019666666666666666,False,0.17582417582417584,41
no_coupling,0.019666666666666666,False,0.038461538461538464,36
no_coupling,0.019666666666666666,False,0.04395604395604396,38
no_coupling,0.019666666666666666,False,0.0565149136577708,36
no_coupling,0.019666666666666666,False,0.04631083202511774,36
no_coupling,0.019666666666666666,False,0.08791208791208792,53
no_coupling,0.019666666666666666,False,0.05023547880690738,39
no_coupling,0.019666666666666666,False,0.17582417582417584,47
no_coupling,0.019666666666666666,False,0.17582417582417584,45
no_coupling,0.019666666666666666,False,0.17582417582417584,42
no_coupling,0.019666666666666666,False,0.17582417582417584,41
no_coupling,0.019666666666666666,False,0.03767660910518053,36
no_coupling,0.019666666666666666,False,0.04317111459968603,35
no_coupling,0.019666666666666666,False,0.17582417582417584,43
no_coupling,0.019666666666666666,False,0.03610675039246468,34
no_coupling,0.02933333333333333,False,0.416796267496112,51
no_coupling,0.019666666666666666,False,0.04081632653061224,36
no_coupling,0.019666666666666666,False,0.17582417582417584,45
no_coupling,0.02933333333333333,False,0.18351477449455678,50
no_coupling,0.019666666666666666,False,0.058084772370486655,39
no_coupling,0.02933333333333333,False,0.416796267496112,52
no_coupling,0.02933333333333333,False,0.08164852255054432,50
no_coupling,0.02933333333333333,False,0.06220839813374806,51
no_coupling,0.02933333333333333,False,0.06765163297045101,46
no_coupling,0.019666666666666666,False,0.03924646781789639,34
no_coupling,0.02933333333333333,False,0.18506998444790046,49
no_coupling,0.02933333333333333,False,0.416796267496112,58
no_coupling,0.02933333333333333,False,0.18351477449455678,59
no_coupling,0.02933333333333333,False,0.18895800933125972,46
no_coupling,0.02933333333333333,False,0.18351477449455678,53
no_coupling,0.02933333333333333,False,0.059875583203732506,53
no_coupling,0.02933333333333333,False,0.416796267496112,64
